Team Data-> name, rank, points, goals, shots, targets, GA, interceptions
ARS,1,15,14,103,35,7,49
MCI,2,14,20,102,37,6,28
TOT,3,14,12,92,37,5,54
BHA,4,13,11,82,32,5,59
MUN,5,12,8,75,28,8,64
CHE,6,10,8,70,23,9,59
LIV,7,9,15,117,39,7,56
BRE,8,9,15,77,31,9,58
LEE,9,8,10,78,28,10,70
FUL,10,8,9,66,24,9,57
NEW,11,7,8,88,31,6,73
SOU,12,7,7,71,22,10,73
BOU,13,7,5,34,12,18,48
WOL,14,6,3,76,20,4,50
CRY,15,6,7,68,29,10,56
EVE,16,4,5,77,28,6,65
AVL,17,4,5,56,18,10,57
WHU,18,4,3,65,18,8,70
NFO,19,4,4,68,16,14,53
LEI,20,1,8,59,19,16,60
